satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,work_accident,left,promotion_last_5years,department_IT,department_RandD,department_accounting,department_hr,department_management,department_marketing,department_product_mng,department_sales,department_support,department_technical,salary_high,salary_low,salary_medium
0.42,0.53,3,199,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.43,0.47,2,147,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.83,0.81,5,219,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.84,0.5,5,267,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.44,0.51,2,129,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.75,0.73,5,181,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.11,0.9,5,307,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.14,0.51,5,173,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.38,0.43,3,188,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.9,0.73,4,245,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.52,0.79,4,234,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.3,0.56,3,309,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.43,0.48,2,149,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.53,0.85,2,164,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.46,0.57,2,145,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.45,0.54,2,152,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.64,0.99,5,262,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.11,0.83,6,282,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.11,0.84,7,264,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.54,0.49,4,190,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.91,0.48,3,224,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.64,0.9,6,252,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.09,0.79,6,275,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.6,0.6,4,147,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.81,0.62,4,255,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.87,1.0,5,242,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.48,0.81,3,212,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.38,0.5,2,140,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.57,0.65,4,162,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.38,0.55,2,158,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.11,0.93,4,295,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.82,0.82,5,220,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.84,0.93,4,251,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.9,1.0,4,229,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.4,0.48,2,155,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
