satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,work_accident,promotion_last_5years,department,salary
0.38,0.53,2,157,3,0,0,IT,low
0.8,0.86,5,262,6,0,0,sales,medium
0.11,0.88,7,272,4,0,0,sales,medium
0.72,0.87,5,223,5,0,0,hr,low
0.37,0.52,2,159,3,0,0,technical,low
0.41,0.5,2,153,3,0,0,support,low
0.1,0.77,6,247,4,0,0,management,low
0.92,0.85,5,259,5,0,0,sales,low
0.89,1,5,224,5,0,0,product_mng,low
0.42,0.53,2,142,3,0,0,accounting,low
0.45,0.54,2,135,3,0,0,marketing,low
0.11,0.81,6,305,4,0,0,sales,low
0.84,0.92,4,234,5,0,0,RandD,low
0.41,0.55,2,148,3,0,0,sales,high
